"Name","Phone","Email","Address","City","State","Licence"
"AV Remedies","661-948-8789","avremedies@gmail.com","515 W Ave G","Lancaster","CA","medical"
"Ultra Collective","(760)708-1375","UltraCollectiveSD@gmail.com","7558 Trade Street","San Diego","CA","medical"
"Strange Therapy Solutions","877-420-8886","Strangesolutions420@gmail.com","Call for Address","Banning","Ca","medical"
"Midtown Remedies MTR","(323) 937-0031","midtownremedies@gmail.com","5601 West Adams","Los Angeles","CA","medical"
"VHC Pre-ICO","(818) 370-6677","valleyherbalcenter@gmail.com","11300 TUXFORD ST","SUN VALLEY","CA","medical"
"SunGrow - Palm Springs","760-329-5000","sungrowcollective@gmail.com","17003 Palm Dr","Desert Hot Springs","CA","medical"
"V & G COLLECTIVE","661-327-9000","vgcollective@att.net","2309 Chester Avenue","Bakersfield","CA","medical"
"TOP SHELF 30 CAP COLLECTIVE ","909-533-7835","thedankbank951@gmail.com","6024 Tyler St","Riverside","CA","medical"
"Show Grow Santa Ana","(949) 565 - GROW","info@showgrowsa.com","1625 E St. Gertrude Place","Santa Ana","CA","medical"
"BEACH Center - South Bay","310-821-4420","beachcentermail@gmail.com","1115 West 190th St.","Torrance","CA","medical"
"LAXCC  PRE-ICO","1(310)439-9189","LAXCC20@gmail.com","8332 Lincoln Blvd.","Los Angeles","CA","medical"
"MJINC","(909) 521-7499","mjincsanbernardino@gmail.com","1092 N E. Street","San Bernardino","CA","medical"
"Dank City","626-476-6482","dankcityla@gmail.com","5233 Tyler Ave","Temple City","CA","medical"
"A NEW SPIRIT - Perris","(951)940-0904","NEWSPIRITCOLLECTIVE@GMAIL.COM","620 Indian Hills Circle (Unit D first floor NEW SPIRIT)","Perris","CA","medical"
"Green Acres","831-475-8420","greenacresrx@gmail.com","3912 Portola Dr. Ste. 1","Santa Cruz","CA","medical"
"GREENWOLF LA Pre ICO","323-668-9390","info@greenwolf.la","2950 Los Feliz, Unit 100 (Free Parking in rear, entrance on Revere Ave. )","Los Angeles","California","medical"
"The WEED - Wellness Earth Energy Dispensary","(818) 980-2266","info@theweed420.com","11557 Ventura Blvd.","Studio City","CA","medical"
"MR NICE GUY"," 213-273-4543","SFSmrNiceGuy@gmail.com","1126 S. Los Angeles St. Unit B","LOS ANGELES","CA","medical"
"Next Level Caregivers","951-926-0261 Delivery: 951-230-7367","nextlevel0420@yahoo.com","31251 Highway 74","Homeland","CA","medical"
"Limitless Care Collective","6193018903","limitlesscollectives@icloud.com","1737 Garnet Ave","Pacific Beach","CA","medical"
"Venice Beach Care Center ","(310) 399-4307","venicebeachcare@gmail.com","410 Lincoln Blvd","Venice","CA","medical"
"W main WC","619-306-9538","greengold420@yahoo.com","905 W Main Street Suite F","El Cajon","CA","medical"
"Mr. Naturals 35 Cap","213-256-8312","mr.naturalsdtla@gmail.com","521 S. ALVARADO ST (EL POLLO LOCO LOT)","LA","CA","medical"
"ECC Ease Compassion Collective","714-309-7772","ease215@gmail.com","2435 E. Orangethorpe Ave.","Fullerton","CA","medical"
"Green Nectar - (Mankind Coop)","(858) 222-2527","info@mankindcoop.com","7128 Miramar Rd. Suite 10 (UPSTAIRS)","San Diego","CA","medical"
"Mercy Wellness of Cotati","707-795-1600","info@mercymmd.org","7950 Redwood Dr. Suite 9","Cotati","CA","medical"
"Natural Herbal Pain Relief N.H.P.R ","408-BUD-WEED (283-9333)","nhpainrelief@gmail.com","2121 S. 10th Street","San Jose","CA","medical"
"Wilshire Wellness-Anaheim","714-561-9869","wilshirewellness@gmail.com","292 N. Wilshire Ave., UNIT A","Anaheim","Ca","medical"
"Magnolia Wellness","510.333.6460","MagnoliaExpress2013@gmail.com","161 Adeline Street (Right behind Nellie's Soulfood Restaurant)","Oakland","CA","medical"
"THC - The Healing Center ","(760) 447-2663","thcneedles@yahoo.com","1400 Needles Hwy. Unit 100","Needles","CA","medical"
"DC Collective","(818)887-0980 ","dccollective@icloud.com","8053 Deering Ave.","Canoga Park","CA","medical"
"Acme Silver Place","(626) 330-3121","AcmeSilverPlace@gmail.com","1261 S Hacienda Blvd (right before 60 W Fwy on-ramp)","Hacienda Heights","CA","medical"
"Prime Greens","6193800185","primegreens619@gmail.com","4205 Market Street","San Diego","CA","medical"
"AHHSWEHO (Alternative Herbal Health Services)","(323) 654-8792","greencrosssociety@icloud.com","7828 Santa Monica Blvd.","West Hollywood","CA","medical"
"99 High Tide ","310-456-9930","info@99hightide.com","22775 Pacific Coast Highway","Malibu","CA","medical"
"The High Church - Temecula","760-468-1658","info@thehighchurch.com","47991 Rainbow Canyon Rd.","Temecula","CA","medical"
"Purple Star MD","415-550-1515","purplestarmd@gmail.com","2520 Mission street","San Francisco","CA","medical"
"Venice Medical Center - VMC-OPEN NOW","424-603-4448","VeniceMedicalCenter@gmail.com","8940 National Blvd UNIT B","Los Angeles","CA","medical"
"Sunrise Wellness Center","760-509-4402 ","sunrisewellnessvista@gmail.com","1069 South Santa Fe (between the Boats and RVs)","Vista","CA","medical"
"The Kind Center, Inc. ","(818) 616 4335","kindcenter420@gmail.com","7832 Balboa Blvd.","Van Nuys","California","medical"
"Huntington Beach Healing Center","(714)375-8918","huntingtonbeachhealingcenter@gmail.com","17875 Beach Blvd","Huntington Beach","CA","medical"
"Blue Stone Group ","951-678-7262","BlueStoneGroup33@gmail.com           >>>            ATM ON SITE","18925 Grand Avenue","Lake Elsinore","CA","medical"
"ONAC of East Bay","510-363-9169","onaceb@gmail.com","2615 Oliver Drive","Hayward","CA","medical"
"The Holistic Center - Modesto","209-550-1615","holisticcentermodesto@gmail.com","4819 Yosemite Blvd","Empire","CA","medical"
"Sugar Shack","7605363391","sugarshack710@gmail.com","2530 South Santa Fe","Vista","CA","medical"
"Green Remedy","(510) 758-7898","greenremedy01@gmail.com","2928 Unit C Hilltop Mall Rd","Richmond","CA","medical"
"1 Stop GG","714-589-7444","santaanapc@gmail.com","14136 Brookhurst Street","Garden Grove","CA","medical"
"Organic Greens Collective","805.770.0580","info@ogcollective.org","298 Orange Ave Suite B","Goleta","California","medical"
"Chubby's Med House","9099933906","chubbysmed@gmail.com","5505 Moreno st  Suite 105","Montclair","CA","medical"
"Nu Remedy Health Care","6266397422","tricity420@yahoo.com","1470 E Walnut","Pasadena","Ca","medical"
"Elemental Wellness","408-433-3344","Info@elementalwellnesscenter.com","985 Timothy Drive","San Jose","CA","medical"
"Monterey Bay Alternative Medicine","(831) 393-2500","info@montereybayaltmed.com","800 Portola Drive","Del Rey Oaks","CA","medical"
"SCCC","916-254-3287","truecompassioncooperative@gmail.com","135 Main Ave","Sacramento","CA","medical"
"Green Mammoth","760-934-5400","None@GreenMammoth.org","94 Laurel Mt. Rd. Suite 420","Mammoth Lakes","California","medical"
"11th St. Well-Health","209-281-7130","11wellhealth@gmail.com","7650 W. 11th St.","Tracy","CA","medical"
"Upland's Finest Collective ","909-767-0412","uplandsfinestcollective@gmail.com","1816 W Foothill Blvd","Upland","CA","medical"
"Cookies SF","415-769-5001","CookiesSF215@hotmail.com","5234 Mission St.","San Francisco","CA","medical"
"Tahoe Wellness Cooperative","530-544-8000","info@tahoewellnesscoop.org","3445 Lake Tahoe Blvd.","South Lake Tahoe","CA","medical"
"Harvest Collective","951-663-6487 Also delivers in idyllwild , Anza, pine cove ,ajuanga 40$ min, 5$delivery fee if under 100$ donation ","harvestcollective@yahoo.com","54200 NORTH CIRCLE DR.suite C1.","Idyllwild","CA","medical"
"Cannabis Cup Meds","619-396-5115","cannabiscupmeds@gmail.com","7870 Broadway","Lemon Grove","CA","medical"
"Green Gardens","909-380-8303","Greengardens420delivery@gmail.com","6102 Etiwanda Ave","Jurupa Valley","Ca","medical"
"C.Efforts","(916) 475-1857","collectiveefforts916@gmail.com","2831 Fruitridge Rd Suite E","Sacramento","CA","medical"
"Community First Collective - Corona ","909-963-5816","cfcollective420@gmail.com","13490 Magnolia Ave","Corona","ca","medical"
"The Clinic"," 209 937 0193","info@stocktonpatientclinic.com","678 N Wilson Way 1","Stockton","CA","medical"
"The Dispensary","707-980-7937","contacthelpinghands707@gmail.com","40 Tennessee st","Vallejo","CA","medical"
"Long Beach Fire House","562-533-1397","lbfirehouse215@gmail.com","1845 E. Pacific Coast Hwy","Long Beach","CA","medical"
"CanniCare","(714)300-3275","info@cannico.org","Call for Verification and Address","Carlsbad","CA","medical"
"ShowGrow Ramona","760-687-9700","ramona@showgrow.com","736 Montecito Way","Ramona","CA","medical"
"Chula Vista Greens","619-213-3577","cvistagreens@gmail.com","1037 Broadway Suite G","Chula Vista","Ca","medical"
"Empire Collective SD","6197044475","empirecollectivesd@gmail.com","8622 Troy Street","Spring Valley","CA","medical"
"Discount Hunter","(442) 232-7371","vistadiscounthunter@gmail.com","1042 S Santa Fe Ave","Vista","CA","medical"
"FAMOUS ROOTS","(818) 336-6115","famous_roots@yahoo.com","12708 Foothill Blvd","Sylmar","CA","medical"
"Florence Canna Clinic FCC","3235319257","florencecannaclinic@yahoo.com","357 East Florence Ave","Los Angeles","CA","medical"
"HTC HIGH TIDE COLLECTIVE ","714-742-6979","hightidecollective710@gmail.com","19142 Beach Blvd Unit F","Huntington Beach","CA","medical"
"Canoga's Finest","818-466-4854","Canogafinest@yahoo.com","7230 Variel Ave.  Unit #A","Canoga Park","CA","medical"
"Organic Greens","619-484-2470","organicgreens619@gmail.com","4274 El Cajon Blvd #D","San Diego","CA","medical"
"Clean Green 40 CAP 5G FTP ","310-402-8106","cleanoftorrance@gmail.com","800 West Carson Street, suite 33 (Go past the first shop, we are the second one in the back)","Torrance","California","medical"
"Green Land","661-441-4700","greenlandcollective@gmail.com","40354 167th Street East","Palmdale","CA","medical"
"Gardenas Med Center ","310-493-4828","gardenasfinest@gmail.com","841 W Gardena Blvd","Los Angeles","CA","medical"
"Rite Greens SD","6197535012 (WE ARE DELIVERY ONLY, NOT A STORE FRONT) ","delivery@ritegreensdeliverysd.com","DELIVERY ONLY","San Diego","CA","medical"
"HIGHWAY 99 COLLECTIVE","(661) 391-9825","jbone818@yahoo.com","19456 Colombo Street Suite H","Bakersfield","Ca","medical"
"EXHALE MED CENTER PRE-ICO","424-279-9497","exhalemedcenter@gmail.com","980 North La Cienega #102","Los Angeles","CA","medical"
"Euclid Medical Center (EMC)","714-719-2713","euclidmedicalcenter@yahoo.com ","9757 Garden Grove Blvd #5","Garden Grove","CA","medical"
"WhittierHotBox","562-758-5777","whittierhotbox@gmail.com","13261 Imperial Highway","Whittier","CA","medical"
"Wilmington Best Buds","(562) 285-2819","wilmingtonbestbuds@gmail.com","1131 W. Anaheim St","Wilmington","CA","medical"
"The Heights Collective","626-430-4067","rowlandhghts710@gmail.com","19261 Colima Rd UNIT D","Rowland Heights","CA","medical"
"Urban Pharm ","415-872-9488","urbanpharmsf@gmail.com","122 10th Street","San Francisco","CA","medical"
"Green Stop 35 Cap","626-240-8923","greenstop710@gmail.com","2314 WHITTIER BLVD.","E. Los Angeles","CA","medical"
"Green Gold Cultivators"," 209-674-8008","greengold1981@att.net","568 Angels Rd.","San Andreas","California","medical"
"TLC","951-360-5654","noemail420@mail.com","9346 GALENA ST","Riverside","CA","medical"
"Ontana Planet Green","(760)-326-4440","otanaplanet@gmail.com","300 J St.","Needles","CA","medical"
"LOVE IN IT COOPERATIVE ","707-937-3123","loveinit707@gmail.com","10464 LANSING STREET","MENDOCINO","CA","medical"
"Golden Valley Collective","1(657) 230-5576","GoldenValleyCollective@gmail.com","3912 Merrill AVe","Riverside","CA","medical"
"WWC ","7147981198","washingtonwellness1@yahoo.com","217 E. Washington blvd","Los Angeles","CA","medical"
"540 Collective","562-340-3258","540Collective@GMAIL.COM","7809 S Western Ave","Los Angeles","CA","medical"
"KUSH PALACE (PRE-ICO) BEST DAILY DEALS","323-984-2904","LAKUSHPALACE@GMAIL.COM","10950 S. MAIN STREET","LOS ANGELES","CA","medical"
"G Mile","951-325-5600","gmile420@gmail.com","31651 Hwy 74","Homeland","CA","medical"
"White House- Corona","7147070035","whitecastle951@gmail.com","19470 Envoy Ave","Corona","CA","medical"
"Diamond Valley Caregivers","9093625835","shacsb14@gmail.com","Call for address Baseline st.","San Bernardino","CA","medical"
"Californication ","(310) 935-2409","bobbysmith357@icloud.com","104 South Pacific Ave","San Pedro","CA","medical"
"Kushmart","323-464-6465","kushmartcollective@gmail.com","1343 S. Hill St","Los Angeles","CA","medical"
"HOLLYWEED","323-939-5299","hollyweedhollywood@gmail.com","5142 Venice Blvd","Los Angeles","CA","medical"
"Point Loma Patient Consumer Co-Op - Ocean Beach","6195740415","pointlomapcc@gmail.com","3452 Hancock Street","San Diego","CA","medical"
"FOOTHILL WELLNESS CENTER - Pre ICO","(818)352-3388","30capfwc@gmail.com","7132 Foothill Blvd.","Tujunga","CA","medical"
"Vallejo Holistic Health Center (VHHC)","(707) 652-5018 Storefront   ","vhhc420@gmail.com","1516 Napa St","Vallejo","CA","medical"
"NNCC Inc. PRE-ICO ","310-202-6622","nncc9021@gmail.com","9021 Exposition Blvd","Los Angeles","CA","medical"
"SCSA South Coast Safe Access - Santa Ana 92705","949-474-7272","INFO@SOUTHCOASTSAFEACCESS.COM","1900 Warner Ave. Unit A","Santa Ana","CA","medical"
"Zen Noho Prop D","(818)487-3737","ZenNoho5142@gmail.com","5142 Vineland Avenue","North Hollywood","CA","medical"
"NICE SLEEP","213-595-6274","420nicesleep@gmail.com","750 South Vermont","Los Angeles","CA","medical"
"Apothecary","818-905-0420","APOTHECARY420SO@GMAIL.COM","15374 Dickens St.","Sherman Oaks","CA","medical"
"The Green Rose","(323) 535-7427","GREENROSEONMELROSE@GMAIL.COM","4569 Melrose Ave","Hollywood","CA","medical"
"Bellflower Cannabis Garden","5623031305","bellflowercannabisgarden@gmail.com","8846 Alondra Blvd","Bellflower","CA","medical"
"Big Mama's Collective","818-960-5787","Bigmamascollective@gmail","8664 Lindley Ave","Northridge","CA","medical"
"Medical Cure Compassion - Pre ICO","8187479447","medicalcurecc@gmail.com","7674 San Fernando rd","Burbank","CA","medical"
"MedLogic Inc. - Perris","9519437800","MEDLOGIC420@outlook.com","802 NAVAJO RD SUITE J","Perris","CA","medical"
"Bikini Ball Collective Bogo Oz's and Qp Specials","714-574-9730","anaheimbbc@gmail.com","1210 S. State College Blvd. Unit D (entrance next to Titanium Hooka Lounge)","Anaheim","CA","medical"
"NATURE'S CURE INC (PRE-ICO)","(310) 645-0173","naturescureinc5300@yahoo.com","5300 W. Century Blvd. Ste 124","Los Angeles","CA","medical"
"KindPeoples","831-471-8562","info@kindpeoples.org","3600 Soquel Ave","Santa Cruz","CA","medical"
"Nu Gen LB ","562-426-1395","Nugenmeds@gmail.com","2242 Long Beach Bl","Long Beach","CA","medical"
"Alpine Alternative","916-739-6337","alpinealternative@gmail.com","8112 Alpine Ave","Sacramento","CA","medical"
"Miramar Private Club","858-229-6859","servidor@gmail.com","9350 Trade Place Suite E","San Diego","CA.","medical"
"THC-OPEN to 3AM","310-871-9165","THCVENICE@gmail.com","4127 S Centinela Ave","Los Angeles","CA","medical"
"Green Earth Farmacie","(818) 994-1045","thegreenearthfarmacie@live.com","6811 WOODMAN AVE.","Van Nuys","CA","medical"
"The Cure","619-376-6686","thecuresd@gmail.com","560 El Cajon Boulevard","El Cajon","CA","medical"
"GreenRoom on Market","619-306 5678","imperialclub30@gmail.com","4218 Market St. Suite A","San Diego","CA","medical"
"Golden State CBD","760-451-3000","info@gscbdv.club","616 East Alvarado Street 101A","Fallbrook","CA","medical"
"DESERT ORGANIC SOLUTIONS - Palm Springs 92258","760-288-4000","INFO@DESERTORGANICSOLUTIONS.COM","19486 Newhall Road","North Palm Springs","CA","medical"
"Santa Barbara Care Center ","805-845-4291","sbcarecenter@hotmail.com","5814 Gaviota St.","Goleta","CA","medical"
"CVCC","760-398-3400","none@nowhere.non","84-891 Avenue 48","Coachella","CA","medical"
"Phytologie Wellness","510-454-9779","info@phytologieoakland.com","8440 Enterprise Way","Oakland","CA","medical"
"Higher Level of Care","(831) 620-1990","info@HigherLevelMMJ.com","26555 Carmel Rancho Blvd., Suite #3","Carmel","CA","medical"
"The City Wellness","626-219-6586","tricity420@yahoo.com","1291 E. Walnut St.","Pasadena","Ca","medical"
"The Parents Remedy","(209)-735-2107","209TPR@gmail.com","1350 Lone Palm Ave","Modesto","CA","medical"
"Airfield Supply Company","408-320-0230","bmatulich@airfieldsupplyco.com","1190 Coleman Avenue","San Jose","CA","medical"
"Caliva","408-297-2615","info@calivacalifornia.com","1695. S. 7th St","San Jose","CA","medical"
"Northstar Holistic Collective","916-476-4344","northstar.collective@gmail.com","1236 C Street","Sacramento","CA","medical"
"1944 Ocean Cooperative ","(415) 239-4766 ","orders@1944ocean.com","1944 Ocean Avenue","San Francisco","CA","medical"
"7 Stars Holistic Healing Center","510-527-7827","info@7starsHHC.com","3288 Pierce St Suite M108","Richmond","Ca","medical"
"Torrey Holistics","1 (858) 558-1420","Freshinfo@torreyholistics.com","10671 Roselle St, Suite #100","San Diego","CA","medical"
"Bud-Eze #3","760-651-2839","Admin@bud-eze.org","Call For Verification, Accepting New Patients","Victorville","CA","medical"
"PR Holistic - !!!Grand Opening!!!","909 931-9955","prholistic@gmail.com","79 Grove Ave Suite A  PRIVATE RESERVE ONLY $15.00 DONATION per 1g","Rancho Cucamonga","CA","medical"
"MVP  CLUB","951-486-3600","thegreenmine@gmail.com","24490 Sunnymead Blvd #118","Moreno Valley","CA","medical"
"Garden of Eden","5102009555","Info@GOE.menu","21227 Foothill Blvd","Hayward","California","medical"
"Chula Vista Meds"," (619) 213-8491","chulavistameds@gmail.com","1067 Broadway Suite 103","Chula Vista","California","medical"
"CALI RELEAF"," (310) 720-5926","CaliReleafCaregivers@gmail.com","1930 PACIFIC COAST HIGHWAY","LOMITA","CA","medical"
"420 XCHANGE","714-462-7172","xchange420@gmail.com","8851 Garden Grove Blvd.","Garden Grove","Ca","medical"
"Broadways 35 Spot","1234567","Broadwaytreatmentcenter213@yahoo.com","4529 South Broadway","Los Angeles","California","medical"
"HIGH SPOT","747-477-4707","HighSpot@gmail.com","19459 Ventura Blvd.","Tarzana","CA","medical"
"SYLMAR WELLNESS CENTER","(213) 359-2641","sylmarwellness@gmail.com","12777 San Fernando Rd. Unit 10","Sylmar","CA","medical"
"Lucky Greens Collective","619-345-1314","luckygcollective@gmail.com","1107 Greenfield Dr","El Cajon","CA","medical"
"Divine Vitality","661-322-2811","divinevitalitybakersfield@gmail.com","102 Brundage Lane","Bakersfield","CA","medical"
"APC","714-876-2709","anaheimpatientcare@gmail.com","1671 W. Katella Ave. Suite #135","Anaheim","CA","medical"
"VCF Pre-ico","747-223-2298","VCFlosangeles@yahoo.com","8724 Bradley Ave","Sun Valley","CA","medical"
"WHTC - Pre ICO","818-980-8338","contact@whtcla.com","3760 Cahuenga Blvd.","Studio City","CA","medical"
"House Of Dank 619","(619) 855-4052","houseofdanksd@gmail.com","2814 Adams Avenue","San Diego","CA","medical"
"THE LAB ","323-426-0045","THELABATBROADWAY@GMAIL.COM","11227 S BROADWAY","LOS ANGELES","CA","medical"
"HGC 35CAP - Gardena","424-329-3536 ","hgc420@yahoo.com","16400 S Vermont Ave","Gardena","CA","medical"
"MARKET STREET COLLECTIVE","6192929253","marketstreetcollectivesd@gmail.com","631 30th Street","San Diego","California","medical"
"OMG Avalon ","424 222-0664","avalonomg@gmail.com","445 N Avalon","Wilmington","Ca","medical"
"Organix","714-631-0425","organixCenter@gmail.com","1640 E First St, Unit D","Santa Ana","CA","medical"
"VHC","1(323)979-6934","VHCincorporated@gmail.com","8714 s. Vermont ave","Los Angeles","CA","medical"
"The Stash - Riverside","951-425-1957,  Home of the NEW 30 CAP Top Shelf","stash909@gmail.com","Call For Address","Riverside","CA","medical"
"Diamond Collective","6195973009","jimmybrowning5555@gmail.com","5555 Jackson Dr. Suite #125","La Mesa","CA","medical"
"LOUD 25 CAP COLLECTIVE ","323-243-4028","westernc25@gmail.com","1570 S WESTERN AVE LOS ANGELES, CA UNIT 102 (IN YOSHINOYA PLAZA, WHITE FROSTED WINDOWS)","Los Angeles","CA","medical"
"DTPC - Riverside/ Mira Loma","951-332-6301","downtownpatient@yahoo.com","9106 Mission Blvd","Riverside","CA","medical"
"Circle City Collective - Corona / Norco","951-220-7380","Circlecitycollective420@gmail.com","13627 Magnolia Ave","Corona","CA","medical"
"NOR","951-599-4997","NOR@lobbyist.com","33671 Old State Hwy 74","Hemet","Ca","medical"
"Happy Daze 35","323-980-6447","35HappyDaze@gmail.com","7800 Pacific Blvd (Unit 9)","Huntington Park","CA","medical"
"Five Star Collective","6197136031","fivestarscollective@gmail.com","7704 North Avenue","Lemon Grove","California","medical"
"Mecca Natural Medicine","323-937-0299","info@meccanaturalmedicine.org","5650 W. Washington Boulevard","Los Angeles","CA","medical"
"Huntington Beach Organics","657-383-5743","hborganics215@gmail.com","19480 Beach Blvd","Huntington Beach","CA","medical"
"TREE HOUSE COLLECTIVE ","760-631-6900","treehousecollective.sd@hotmail.com","1526 S. Santa Fe Unit B","Vista","CA","medical"
"Bellflower CannaClub","562-677-5694","bellflowerpa710@gmail.com","17024 Clark Ave Unit B","Bellflower","CA","medical"
"KoreaTown Collective ","323.951.9513","ktowncollective@gmail.com","7382 Melrose Ave","Los Angeles","CA","medical"
"SKIPPYS HOTBOX","4242243107","skippyshotbox@gmail.com","605 S Pacific Ave #201 UPSTAIRS/LEFT","San Pedro","CA","medical"
"THE LEONARD MOORE CO-OP","(707) 937-4562","thelmc@thelmc.org","44970 Ukiah Street","Mendocino","CA","medical"
"Hollywood High Grade","323-536-9133","hollywoodhighgrade@gmail.com","7051 B Santa Monica Blvd","Hollywood","ca","medical"
"Mr. 5 Grams 8th!","213-282-0920","mr5grams@yahoo.com","732 E 9th PL. (FREE parking all day)","Los Angeles","CA","medical"
"Organic Health Solutions","661-256-0220","organichealthsolutions@ymail.com","1315 W. Rosamond Blvd Suite 1A","Rosamond","CA","medical"
"SCMN - Santa Cruz Mountain Naturals","831-688-7266","service@scmn.org","9077 Soquel Drive","Aptos","CA","medical"
"Compassionate Patient Resources - CPR","(818) 996-4277","cprcollective@gmail.com","18526 Parthenia Street","Northridge","CA","medical"
"Undefeated Collective","6267201960","UndefeatedCollective@GMAIL.COM","1110 E GREEN ST","Pasadena","CA","medical"
"Purple Lotus Patient Center - San Jose","408-456-0420","plpcsanjose@gmail.com","752 Commercial St #20","San Jose","CA","medical"
"45 CAP","626-788-3286","88RIMCREST@GMAIL.COM","123 S. 6TH AVE. UNIT #K ( LOOK FOR UNIT #K )","City Industry","CA","medical"
"Foothill Health and Wellness","530-676-4532","foothillwellness@live.com","3830 Dividend Dr Suite A","Shingle Springs","CA","medical"
"Telegraph Health Center","510.808.5121","info@thcoakland.com","3003 Telegraph Ave","Oakland","CA","medical"
"Highway To Heaven ","909-521-2418","highwaytoheavensb@gmail.com","1041 N Mount Vernon Ave,","San Bernardino","CA","medical"
"Abatin Wellness Center","(916) 822-5699","info@abatinsacramento.com","2100 29th Street","Sacramento","CA","medical"
"DR SHAMROCK ","949-545-1320","drshamrocks@gmail.com","S Santa Fe Ave., (call for address)","San Marcos","CA","medical"
"Alternatives Health Collective - Santa Rosa","707-525-1420","alternativescollective@gmail.com","1603 Hampton Way","Santa Rosa","CA","medical"
"Highway 29 Health Care","707-645-8303 ","info@highway29healthcare.com","3737 Sonoma Blvd.","Vallejo","CA","medical"
"HHC - Healthy Herbal Care","(818) 453-8085","noemail@gmail.com","7123 Sepulveda Blvd.","Van Nuys","California","medical"
"Kush Care Collective","909-678-3111","TBd@gmail.com","Call for details","Fontana","CA","medical"
"H Street Patient Care","760 326 3893","hstreetpatientcare420@gmail.com","221 H Street","Needles","CA","medical"
"Sunnyside Collective","310-443-7722","info@sunnysidecollective.com","1035 Gayley Ave","Los Angeles","CA","medical"
"Bloom Room Collective","415-543-7666","info@bloomroomsf.com","471 Jessie St.","San Francisco","CA","medical"
"PSA Organica","7607781053","psaorganica@gmail.com","400 E. Sunny Dunes Rd","Palm Springs","CA","medical"
"Country Club Wellness","(209)469-0534","Countryclubwellness@gmail.com","1804 Country Club Blvd","Stockton","CA","medical"
"ONE FIFTY COLLECTIVE","855-410-0420","onefiftycollective@gmail.com","446 Old County Rd Suite 150 (Directly Behind UPS Store)","Pacifica","CA","medical"
"Herb's Herbs","408-297-0543","svvccsancarlos@gmail.com","543 Parrott St.","San Jose","CA","medical"
"ThirdEye Wellness","310-823-3505","thirdeyewellness@gmail.com","4509 S Centinela Ave","Los Angeles","CA","medical"
"South Sacramento Care Center","(916) 393-1820","sscc916@gmail.com","114A Otto Circle","Sacramento","CA","medical"
"High Desert Healing (Havasu Green)","928-453-9333","info@highdeserthealing.com","1691 Industrial Blvd","Lake Havasu City","AZ","medical"
"South Bay Greens"," (619)934-6497","sbgreens420@gmail.com","212 Broadway SUITE B","Chula Vista","CA","medical"
"GREEN CROSS - Bakersfield","661-869-0211","greencross661@gmail.com","707 1/2 NILES ST.","Bakersfield","CA","medical"
"Gale Green House","626-671-9421","galetreehouse@gmail.com","15608 GALE AVE SUITE #F","Hacienda Heights","CA","medical"
"Green Star Collective ","(760) 543-9315","greenstarcollectivesd@gmail.com","986 Vista Village Dr.","Vista","Ca","medical"
"SHC","818-384-2522","SHCdispensary@gmail.com","13509 Hubbard Street","Sylmar","CA","medical"
"HHC Plus ","213 973 1187","hhcplusla@gmail.com","1901 S. Alameda St. #112","Los Angeles","CA","medical"
"Little Trees ","209-890-3647","info@littletreeswellness.com","2641 Highway 4, Suite 7 (Upstairs)","Arnold","CA","medical"
"Herbarium LA","(323) 845-4575","HerbariumLA@gmail.com","979 N. La Brea Ave","West Hollywood","CA","medical"
